substance_name,entity_type,matchable,is_group,equivalent_node,equivalent_level,relationship_type,confidence,emb_match,emb_score,emb_agrees
"1,3-Dioxane, 2-[(1R,2S)-2,4-dimethyl-3-cyclohexen-1-yl]-5-methyl-5-(1-methylpropyl)-, trans-",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Reaction products of acetic acid and acetylferrocene and butan-1-ol and 2-methylpropan-1-ol and propan-1-ol and propan-2-ol,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Anthracene oil, anthracene paste, anthracene fraction; Anthracene Oil Fraction; [A complex combination of hydrocarbons from the distillation of anthracene obtained by the crystallization of anthracene oil from bituminous high temperature tar and boiling in the range of 330 °C to 350 °C (626 °F to 662 °F). It contains chiefly anthracene, carbazole and phenanthrene.]",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C18-36, esters with ethylene glycol",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,high,NA,NA,FALSE
MANDRESY,CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
cyclised rubber,CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
stearoyl-palmitoyl-benzoyl-methane,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocarbons, C14-C17, n-alkanes",Analytical parameter,TRUE,TRUE,Alkanes,subclass,subset,high,NA,NA,FALSE
FAT 41'018,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Rosin,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Phosphorodithioic acid, mixed O,O-bis(1,3-dimethylbutyl and iso-Pr) esters, zinc salts",CAS without structure,TRUE,TRUE,Dithiophosphate O-esters,subclass,subset,medium,NA,NA,FALSE
"Chromium (III) complexes with 2-[{2,4-dihydroxy-3-[(5-sulfo-1-naphthyl)diazenyl]phenyl}diazenyl]benzoic acid (1:2), sodium salts",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
sodium; 5-benzoyl-α-methyl-2-thiopheneacetic acid,Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Aluminium, aliphatic ester complexes",Unclassified,TRUE,TRUE,Organoaluminium compounds,subclass,subset,medium,NA,NA,FALSE
"Fuel oil, residual; Heavy Fuel oil; [The liquid product from various refinery streams, usually residues. The composition is complex and varies with the source of the crude oil.]",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
SCH 48461-Q,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Phenolates from Hydrocarbon Resin production,Unclassified,TRUE,TRUE,Phenols,class,subset,medium,NA,NA,FALSE
"(1S,3R)-3-(2-chloro-3,3,3-trifluoroprop-1-en-1-yl)-2,2-dimethylcyclopropane-1-carbonyl chloride",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(4S,4aR,5S,5aR,6R,12aS)-4-(dimethylamino)-3,5,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12aoctahydrotetracene-2-carboxamide 4-methylbenzenesulfonate (1:1)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Aschersonia aleyrodis,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
Golden Yellow Continuous,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fuel oil, heavy, high-sulfur",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CHEMBLACK 1,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Pentane-1,5-diyl-bis(3-oxobutanoate)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Copolymer of vinyl-alcohol and vinyl acetate partially acetilized with 4-(2-(4-formylphenyl)ethenyl)-1-methylpyridinium methylsulfate,CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Scarlet HS 5050, notification presscake",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
C 1812,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"C12-14-tert-alkylamine, methylphosphonic acid salt",CAS without structure,TRUE,TRUE,Organic salts,superclass,subset,medium,NA,NA,FALSE
"[N,N',N''-tris[3-(dimethylamino)propyl]-29H,31H-phthalocyaninetrisulphonamidato(2-)-N29,N30,N31,N32]copper trihydrochloride",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Extract oils (coal), light oil; Acid Extract; [The aqueous extract produced by an acidic wash of alkali-washed carbolic oil. Composed primarily of acid salts of various aromatic nitrogen bases including pyridine, quinoline and their alkyl derivatives.]",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Light Oil Extract Residues, low boiling|Extract residues (coal), light oil alk., distn. overheads|[The first fraction from the distillation of aromatic hydrocarbons, coumarone, naphthalene and indene rich prefractionator bottoms or washed carbolic oil boi",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
K-652,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C18 unsat, reaction products with triethylenetetramin, tetraethylenepentamine and pentaethylenehexamine",Unclassified,TRUE,TRUE,Fatty amides,subclass,subset,medium,NA,NA,FALSE
Alkyloxyl and aryl mercury compounds,Substance group,TRUE,TRUE,Organomercurial compounds,subclass,subset,medium,Alkyl mercury compounds,0.8805111516671102,FALSE
"N-[3-benzotriazol-2-yl-2-hydroxy-5-(1,1,3,3-tetramethylbutyl)-benzyl]-2-methylacrylamide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Talloil, 2-[(tetrahydro-2H-pyran-2-yl) thio]ethyl esters",CAS without structure,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
salts and esters of dinosam,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"Benzenesulfonic acid, C10-24-branched and linear alkyl derivs., magnesium salts, overbased",Unclassified,TRUE,TRUE,Organic sulfonic acids and derivatives,superclass,subset,medium,NA,NA,FALSE
Pentachlorophenol and its salts and esters,Substance group,TRUE,TRUE,Chlorophenols,subclass,subset,medium,NA,NA,FALSE
"Hydrolysed chitosan, hydrochloride (DP = 25-55; average acetylation degree 0-20%); [OptiCHOS]",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-(3,4-polymethoxyarylethyl)heteromonocycle-2,4,6(1H,3H,5H)-trione",Unclassified,TRUE,TRUE,Pyrimidines and pyrimidine derivatives,subclass,subset,medium,NA,NA,FALSE
"Reaction products of diazotized potassium sodium 2-amino-5-{[2-(sulfonatooxy)alkyl] sulfonyl benzenesulfonate, 1-(3-aminophenyl)urea, (alkylamino)benzenesulfonic acid, and 2,4,6-trihalo-1,3,5-triazine",Unclassified,TRUE,TRUE,Azobenzenes,class,subset,low,NA,NA,FALSE
SD956,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Ethanesulfonic acid, 2-(methylamino)-, N-coco acyl derivs., sodium salts",CAS without structure,TRUE,TRUE,Fatty amides,subclass,subset,medium,NA,NA,FALSE
Methyl N-benzyloxycarbonyl-L-tyrosinate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"N,N,N-tri-C8-C10-alkyl-N-methyl-1-aminium sulfate",Analytical parameter,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,high,NA,NA,FALSE
TIC-A,Unclassified,TRUE,FALSE,NA,NA,NA,low,NA,NA,FALSE
"Amides, C10-12 (even numbered) and C18 (unsaturated) alkyl, N, N-bis(hydroxyethyl)",Unclassified,TRUE,TRUE,Fatty amides,subclass,subset,high,NA,NA,FALSE
Reaction product of butanal aldol condensation being a residue during purification,Analytical parameter,TRUE,TRUE,Aldehydes,direct_parent,broader,low,NA,NA,FALSE
"Hexamethylene diisocyanate, oligomers, reaction products with 4-Hydroxybutyl acrylate",Unclassified,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,low,NA,NA,FALSE
RSP,Unclassified,TRUE,FALSE,NA,NA,NA,low,NA,NA,FALSE
O-ethyl S-(1-methoxycarbonylethyl)dithiocarbonate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Slimes and Sludges, lead refining",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
ACETYL D4T,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
DOW CORNING(R) 4-6025 INT (VINYL SILYL PHOSPHONATE),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Lead, C5-23-branched carboxylate naphthenate octanoate complexes",CAS without structure,TRUE,TRUE,Organic metal salts,superclass,subset,medium,NA,NA,FALSE
A mixture of: 1) a mixture of: a) dicholest-5-en-3-β-yl N-lauroylglutamate; b) 1-(cholest-5-en-3-β-yl)-5-(2-octyldodecyl) N-lauroylglutamate; c) 5-(cholest-5-en-3-β-yl)-1-(2-octyldodecyl) N-lauroylglutamate; d) 1-(cholest-5-en-3-β-yl) 5-docosanyl N-lauroylglutamate; e) 5-(cholest-5-en-3-β-yl) 1-docosanyl N-lauroylglutamate; 2) a mixture of: a) bis(2-octyldodecyl) N-lauroylglutamate; b) didocosanyl N-lauroylglutamate; c) 1-docosanyl 5-(2-octyldodecyl) N-lauroylglutamate; d) 5-docosanyl 1-(2-octyldodecyl) N-lauroylglutamate,Analytical parameter,TRUE,TRUE,"Amino acids, peptides, and analogues",subclass,subset,medium,NA,NA,FALSE
"2-Methylpropene, trimers",CAS without structure,TRUE,TRUE,Unsaturated hydrocarbons,superclass,subset,medium,NA,NA,FALSE
"fatty acids, tall oil",CAS without structure,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,high,NA,NA,FALSE
dipotassium 8-(phenylamino)-5-((E)-(4-((E)-(3-sulfonatophenyl)diazenyl)naphthalen-1-yl)diazenyl)naphthalene-1-sulfonate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Ruscus aculeatus, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"2-hydroxy-2-sulfonato acetic acid, disodium salt",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Naphthenic acids, reaction products with diethylenetriamine",CAS without structure,TRUE,TRUE,Carboxylic acids and derivatives,class,subset,low,NA,NA,FALSE
"phenols, styrenated",CAS without structure,TRUE,TRUE,Phenols,class,subset,high,NA,NA,FALSE
"alkyl sulfate, sodium (mono C10-C16-alkyl esters)",Analytical parameter,TRUE,TRUE,Alkyl sulfates,subclass,subset,high,NA,NA,FALSE
"N-((3R,4R)-1-benzyl-4-alkylpiperidin-3-yl)-2-halogeno-N-alkyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine",Unclassified,TRUE,TRUE,Pyrrolopyrimidines,class,subset,high,NA,NA,FALSE
"1-Propanaminium, 3-amino-N-[2-[(2-hydroxyethyl)amino]-2-oxoethyl]-N,N-dimethyl-, N-C12-18 acyl derivs., chlorides",CAS without structure,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,high,NA,NA,FALSE
"Alcohols, C20-30 (even numbered)",Unclassified,TRUE,TRUE,Long-chain fatty alcohols,direct_parent,subset,medium,NA,NA,FALSE
"Fatty acids, C16-22",CAS without structure,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,high,NA,NA,FALSE
TCD-DI-HEA,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"Fatty acids, C8-10, triesters with trimethylolpropane",CAS without structure,TRUE,TRUE,Triacylglycerols,subclass,subset,medium,NA,NA,FALSE
CNN-4,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
IRANDA,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
PROTECT H,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"2-Propenoic acid, reaction products with pentaerythritol",CAS without structure,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
2-fluoro-4-pentyl-4'-(2-(trans-4-propylcyclohexyl)ethyl)biphenyl,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Carboxylic acids, di-, C5-9",Unclassified,TRUE,TRUE,Dicarboxylic acids and derivatives,subclass,subset,high,Carboxylic acids,0.8209008288846701,FALSE
"Naphtha fraction, waste plastic derived, hydrothermal conversion",Mixture,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"3-(5-acetylamino-4-(4-[4,6-bis(3-diethylaminopropylamino)-1,3,5-triazin-2-ylamino]phenylazo)-2-(2-methoxyethoxy)phenylazo)-6-amino-4-hydroxy-2-naphtalenesulfonic acid",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Reaction product of apple aminoacids and lauroyl chloride,Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Soybean oil, reaction products with ethaneperoxoic acid",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Reaction products of paraformaldehyde with 2-hydroxypropylamine (ratio 1:1),Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
DIM-Malonate,Unclassified,TRUE,FALSE,NA,NA,NA,low,NA,NA,FALSE
"Fatty acids C10-20, reaction product with diethylenetriamine",Unclassified,TRUE,TRUE,Fatty amides,subclass,subset,medium,NA,NA,FALSE
"Fatty acids, C8-18-branched and linear, esters with trimethylolpropane",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
FARBASTOFF 393,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",Unclassified,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
"Protein hydrolyzates, keratin, reaction products with 3-chloro-2-hydroxypropyl-cocoalkyl-dimethylammonium chloride",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Mercury(2+), bis(2,4,6-tri-2-pyridinyl-1,3,5-triazine-N1,N2,N6)-, (OC-6-1'2)-",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Maltodextrin,CAS without structure,TRUE,TRUE,Polysaccharides,class,subset,medium,NA,NA,FALSE
"Iron(III) N,N-bis(carboxymethyl)-β-alaninate trihydrate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
T002260,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
salts and esters of MCPB,Unclassified,TRUE,TRUE,Carboxylic acids and derivatives,class,subset,medium,NA,NA,FALSE
"Hydrocarbons, C4, 1,3-butadiene-free, polymd., triisobutylene fraction",CAS without structure,TRUE,TRUE,Hydrocarbons,superclass,subset,medium,NA,NA,FALSE
Sodium salts of substituted amino acid (2),Unclassified,TRUE,TRUE,"Amino acids, peptides, and analogues",subclass,subset,medium,NA,NA,FALSE
Rabitle FP-100,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(2S)-2-[[(2S)-6-[[2-[2-[2-[[2-[2-[2-[[(4S)-5-tert-butoxy-4-[(20-tert-butoxy-20-oxo-icosanoyl)amino]-5-oxo-pentanoyl]amino]ethoxy]ethoxy]acetyl]amino]ethoxy]ethoxy]acetyl]amino]-2-[[(2S)-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-6-(tert-butoxycarbonylamino)-2-[[(2S)-4-tert-butoxy-2-(9H-fluoren-9-ylmethoxycarbonylamino)-4-oxo-butanoyl]amino]hexanoyl]amino]-3-methyl-pentanoyl]amino]propanoyl]amino]-5-oxo-5-(tritylamino)pentanoyl]amino]hexanoyl]amino]propanoic acid",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Quaternary ammonium compounds, (C16-18 and C18-unsatd. alkyl)trimethyl, chlorides",CAS without structure,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,high,NA,NA,FALSE
Bacillus velezensis strain TF3/BBR1,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Low boiling point naphtha - unspecified|Hydrocarbons, C<sub>4-11</sub>, naphtha-cracking, arom.-free|[A complex combination of hydrocarbons obtained from prehydrogenated cracked naphtha after distillative separation of benzene- and toluene-containing hydr",Mixture,TRUE,TRUE,Hydrocarbons,superclass,subset,medium,NA,NA,FALSE
"Pentaerythritol, mixed esters with straight and branched fatty acids",Unclassified,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
"iron, complexes with diazotised 4-aminobenzenesulfonamide,diazotised 3-aminobenzenesulfonic acid, diazotised 3-amino-4-hydroxybenzenesulfonamide,diazotised 3-amino-4-hydroxy-N-phenylbenzenesulfonamide, diazotised 5-amino-2-(phenylamino)benzenesulfonic acid and resorcinol, sodium salts",Unclassified,TRUE,TRUE,Organic diazonium salts,subclass,subset,low,NA,NA,FALSE
NT-16,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Copper chromite black spinel,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Products of roasting of ""slags, steelmaking, vanadium""",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-C18(unsaturated) acyl derivs., hydroxides, inner salts",Unclassified,TRUE,TRUE,Fatty amides,subclass,subset,medium,NA,NA,FALSE
"Esterification products of glycerol with docosanoic acid, icosanedioic acid and 16-methylheptadecanoic acid",Unclassified,TRUE,TRUE,Triacylglycerols,subclass,subset,medium,NA,NA,FALSE
"Arabinofuranosidase, α-l-",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"poly-[((4-((4-ethyl-ethylene)amino)phenyl)-((4-(ethyl-(2-oxyethylene)amino)phenyl)methinyl)cyclohexa-2,5-dienylidene)-N-ethyl-N-(2-hydroxyethyl)ammonium acetate]",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"4-nitrophenyl 1,3-thiazol-5-ylmethylcarbonate hydrochloride",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C5-9, tetraesters with pentaerythritol",CAS without structure,TRUE,TRUE,Wax esters,direct_parent,subset,medium,NA,NA,FALSE
TREATED CARBON BLACK 5,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Lead ores, concs., leached",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(CIS)-5-(4,6-dimethylpyrimidin-2-yl)-2,3,3a,4,6,6a-hexahydro-1H-pyrrolo[3,4-c]pyrrole",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"4-(3-(3-(dimethyl(oxo)-l6-sulfaneylidene)-2-oxopropyl)-7-methylimidazo[1,2-a]pyridin-2-yl)-3,5-difluoro-N-methylbenzamide",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
sunflower oil fatty acids,CAS without structure,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,high,NA,NA,FALSE
4-(4'-Trifluoromethylphenyl)benzaldehyde,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Nickel Sulfide (Ni5S4),CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"3-(3,5-di-tert-butyl-4-hydroxybenzyl)benzothiazole-2-thione",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Reaction product of: 3,5-bis-tert-butylsalicylic acid and aluminiumsulfate",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Man-made vitreous (silicate) fibres with random orientation with alkaline oxide and alkali earth oxide (Na2O+K2O+CaO+ MgO+BaO) content greater than 18 % by weight,Unclassified,TRUE,TRUE,NA,NA,broader,high,NA,NA,FALSE
"Fatty acids, C14-18 and C18-unsatd., branched and linear, 2-ethylhexyl esters",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,high,NA,NA,FALSE
"Naphtha (coal), distn. residues",Mixture,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"castor oil, mono- and diglycerides",Unclassified,TRUE,TRUE,Glycerolipids,class,subset,medium,NA,NA,FALSE
Amorphous barium copper zinc borobismuthate,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"3-(C6-16, (even numbered) and C16 unsaturated alkyl)-4-(C7-17 (odd numbered) and C17 unsaturated alkylidene)-oxetan-2-one",CAS without structure,TRUE,TRUE,Oxetanes,class,subset,medium,NA,NA,FALSE
"Residues (coal), liq. solvent extn.; [A cohesive powder composed of coal mineral matter and undissolved coal remaining after extraction of coal by a liquid solvent.]",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CERAPHYL SAQ,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Potassium bis(2-oxido-2,2-diphenyl-acetato) borate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(E,Z)-8-Dodecen-1-yl acetate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Amines, C16-18-alkyl",CAS without structure,TRUE,TRUE,Primary amines,direct_parent,subset,medium,NA,NA,FALSE
A mixture of: tetrakis(trimethylhexadecylammonium) hexa-μ-oxotetra-μ3-oxodi-μ5-oxotetradecaoxooctamolybdate(4-); tetrakis(trimethyloctadecylammonium) hexa-μ-oxotetra-μ3-oxodi-μ5-oxotetradecaoxooctamolybdate(4-),Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"4,4'-methylenediphenyl diisocyanate and its oligomeric reaction products with oxydipropanol and [(methylethylene)bis(oxy)]dipropanol",Unclassified,TRUE,TRUE,Isocyanates,subclass,broader,low,NA,NA,FALSE
"Fatty acids, linseed-oil, maleated",CAS without structure,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,medium,NA,NA,FALSE
trisodium 2-(2-sulfonatoethoxy)ethane-1-sulfonate ethenesulfonate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Protein hydrolyzates, wool, reaction products with 3-chloro-2-hydroxypropyl-cocoalkyl-dimethylammonium chloride",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocarbons, C13-C18, n-alkanes, isoalkanes, cyclics, <2% aromatics",Analytical parameter,TRUE,TRUE,Hydrocarbons,superclass,subset,high,NA,NA,FALSE
polyethylenglycol ether (EO = 1-50) of linear and branched primary alcohols,Unclassified,TRUE,TRUE,Polyethylene glycols,level 6,subset,medium,NA,NA,FALSE
"Resin acids and Rosin acids, esters with trimethylolpropane",CAS without structure,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
"Phosphoric acid, mono- and di-C16-18 (even numbered) alkyl esters, salts with 2,2'-iminodiethanol",Unclassified,TRUE,TRUE,Organic phosphoric acids and derivatives,superclass,subset,medium,NA,NA,FALSE
"Alcohols, C10-12 (even numbered), ethoxylated (1-2.5 EO), sulfated, sodium salts",Unclassified,TRUE,TRUE,Organic sulfate salts,superclass,subset,medium,NA,NA,FALSE
"phenol, 3-dodecyl-, branched",Unclassified,TRUE,TRUE,Phenols,class,subset,high,NA,NA,FALSE
"A mixture of: 2,2'-bis(tert-pentylperoxy)-p-diisopropylbenzene; 2,2'-bis(tert-pentylperoxy)-m-diisopropylbenzene",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Calcium, carbonate hydroxy aluminum complexes",CAS without structure,TRUE,TRUE,Alkaline earth metal salts,class,subset,low,NA,NA,FALSE
Concrete of Rosa Damascena (Rosaceae) obtained from fresh flowers by extraction with an apolar solvent,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Bile, extract",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
BIS((C10-13)ALKYLPHENYL)IODONIUM HEXAFLUOROANTIMONATE,CAS without structure,TRUE,TRUE,Organoiodides,class,subset,medium,NA,NA,FALSE
"Reaction product of 3,9-dibromobenzanthrone condensed with 2 equivalents of 1-aminoanthraquinone, subsequently further condensed under oxidative conditions",Analytical parameter,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"(2S,4R)-1-hexadecanoyl-4-hydroxy-pyrrolidine-2-carboxylic acid",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
3-hydroxy-3-carbethoxy-1-azabicyclo[2.2.2]octane,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-Propene, hydroformulation products, by-products from, distillation residues",CAS without structure,TRUE,TRUE,Organic compounds,kingdom,broader,low,NA,NA,FALSE
"phosphorous acid, triphenyl ester, polymer with alpha-hydro-omega-hydroxypoly[oxy(methyl-1,2-ethanediyl)], C10-C16 alkyl esters",Analytical parameter,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
"(15α,16α,17β)-3-hydroxyestra-1,3,5(10)-triene-15,16,17-triyl triacetate",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
monopotassium [(E)-3-oxido-4-((1-oxido-8-sulfonatonaphthalen-2-yl)diazenyl)naphthalene-1-sulfonate (4-)]chromate(1-)],Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"3-amino-1,5-anhydro-2,3-dideoxy-D-threo-pentitol phosphate salt",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Acid chlorides, coco",CAS without structure,TRUE,TRUE,Acyl halides,class,subset,high,NA,NA,FALSE
"Rosin, fumarated",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocarbons, C4, 1,3-butadiene-free, polymd., tetraisobutylene fraction",CAS without structure,TRUE,TRUE,Hydrocarbons,superclass,subset,medium,NA,NA,FALSE
"Glycerides, C8-10 mono-, di- and tri-",CAS without structure,TRUE,TRUE,Glycerolipids,class,subset,high,NA,NA,FALSE
NT-15,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Ethyl 2-(2-((7-(2-cyano-3-fluoropyridin-4-yl)benzofuran-5-yl)methoxy)phenyl)acetate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Betaines, C12-16 (even numbered) -alkyldimethyl",Unclassified,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,medium,NA,NA,FALSE
"Pentasodium 5-[4-chloro-6-[4-(2-sulfatoethylsulfonyl)phenylamino]-1,3,5-triazin-2-ylamino]-4-hydroxy-3-(1,5-disulfonatonaphthalen-2-ylazo)naphthalene-2,7-disulfonate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Dialkyl C18 and C18-unsaturated phosphonates,Unclassified,TRUE,TRUE,Organic phosphonic acids and derivatives,superclass,subset,medium,NA,NA,FALSE
Aqueous extract from fruit pods of Caesalpinia spinosa (Fabaceae),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Acetic acid, oxo-, potassium salt, reaction products with ethylenediamine and para-hydroxybenzenesulfonic acid potassium salt, iron potassium salts",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
