kingdom,superclass,class,subclass,direct_parent,reasoning,confidence,substance_name,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens
Organic compounds,Organosulfur compounds,Organic sulfate salts,NA,Azo compounds,"This substance contains an azo group (-N=N-) connecting a pyrazolone ring system to a substituted benzene ring, along with sulfonate/sulfate ester groups and a sodium salt. The core structural feature is the azo linkage, making it an azo compound; it also contains sulfonyloxy (sulfate ester) and sulfonic acid sodium salt moieties, but the azo group is the most defining direct parent classification available in the taxonomy.",medium,"p-[4,5-dihydro-4-[[2-methoxy-5-methyl-4-[[2-(sulphooxy)ethyl]sulphonyl]phenyl]azo]-3-methyl-5-oxo-1H-pyrazol-1-yl]benzenesulphonic acid, sodium salt",384,0,16760,181
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Acrylic acid esters,"2-Hydroxypropyl acrylate is an ester formed from acrylic acid (prop-2-enoic acid) and propylene glycol, making it an acrylate ester. It contains a vinyl/acrylate functional group and a hydroxyl group on the propyl chain.",high,2-hydroxypropylacrylate,314,0,16760,143
Inorganic compounds,Homogeneous non-metal compounds,Non-metal oxoanionic compounds,NA,Non-metal sulfates,"Sulfamidic acid (H2NSO3H, also called sulfamic acid) is an inorganic compound containing sulfur, nitrogen, oxygen, and hydrogen. It is best classified as a non-metal oxoanionic compound; structurally it is a sulfuric acid derivative where one hydroxyl is replaced by an amino group, placing it among non-metal sulfates/sulfonic-type species in the inorganic domain.",medium,sulfamidic acid,309,0,16760,164
Organic compounds,Organosulfur compounds,Thioethers,NA,Thioethers,"Thiocyclam (N,N-dimethyl-1,2,3-trithian-5-amine) is a cyclic polysulfide insecticide containing a 1,2,3-trithiane ring system with three consecutive sulfur atoms acting as thioether-type linkages. It is best classified as a thioether within organosulfur compounds.",medium,Thiocyclam,309,0,16760,165
Inorganic compounds,Inorganic salts,Alkali metal salts,Alkali metal fluorides,Alkali metal fluorides,"Lithium difluoro(oxalato)borate(1-) is a lithium salt containing fluoride and borate/oxalate components; as a lithium (alkali metal) salt with fluoride character, the closest matching taxonomy path is through inorganic salts → alkali metal salts → alkali metal fluorides. However, the compound also contains an organic oxalate ligand, making classification partially ambiguous, but the dominant inorganic salt framework with lithium and fluoride is best captured here.",low,Lithium difluoro(oxalato)borate(1-),320,0,16760,202
Organic compounds,Hydrocarbon derivatives,Organonitrogen compounds,Organic nitrates,Alkyl nitrates,"2-Ethylhexyl nitrate is an ester of nitric acid with 2-ethylhexanol, making it an organic nitrate. It falls under alkyl nitrates as it is a simple aliphatic alcohol esterified with nitric acid.",high,2-ethylhexyl nitrate,313,0,16760,113
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenol esters,p-Hydroxybenzoic acid alkyl esters,"2-hexyldecyl p-hydroxybenzoate is an ester of p-hydroxybenzoic acid (a para-substituted phenol) with a branched long-chain alcohol (2-hexyldecanol), making it a p-hydroxybenzoic acid alkyl ester (a paraben-type compound). This fits directly under the 'p-Hydroxybenzoic acid alkyl esters' direct parent.",high,2-hexyldecyl p-hydroxybenzoate,318,0,16760,175
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzophenones,Benzophenones,"This compound is a diaryl ketone (methanone) with two fluorinated phenyl rings (2,4-difluorophenyl and 4-fluorophenyl), making it a substituted benzophenone. Benzophenones are aryl-phenylketones belonging to the benzene and substituted derivatives class.",high,"(2,4-Difluorophenyl)(4-Fluorophenyl)methanone",327,0,16760,142
Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,"C.I. Pigment Red 104 is an inorganic mixed-metal salt pigment composed of lead chromate, lead molybdate, and lead sulfate — a complex inorganic compound containing multiple metal cations (Pb²⁺) with different oxoanions (chromate, molybdate, sulfate). It fits best under mixed metal/non-metal compounds, specifically the miscellaneous category as no more specific label covers this multi-anion lead salt mixture.",medium,C.I. Pigment Red 104 (or: lead chromate/molybdate/sulfate; C.I. No. 77605),338,0,16760,198
Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Naphthalene sulfonic acids and derivatives,2-naphthalene sulfonic acids and derivatives,"This substance is a sodium salt of a naphthalenesulfonic acid derivative with an azo group (-N=N-) connecting a substituted naphthalene ring system to a chloro-phenoxyphenyl moiety, along with amino and hydroxy substituents. The core scaffold is a 2-naphthalenesulfonic acid, making it best classified under naphthalene sulfonic acids and derivatives.",medium,"2-Naphthalenesulfonic acid, 6-amino-5-[2-[5-chloro-2-(2-chlorophenoxy)phenyl]diazenyl]-4-hydroxy-, sodium salt (1:1)",360,0,16760,189
Organic compounds,Phenylpropanoids and polyketides,Terpenoids,Monoterpenoids,Monocyclic monoterpenoids,"L-Carvone is a naturally occurring monocyclic monoterpenoid ketone (p-mentha-6,8-dien-2-one) found in spearmint oil, containing a cyclohexenone ring with an isopropenyl substituent. It belongs to the menthane family of monocyclic monoterpenoids.",high,L-Carvone,310,0,16760,142
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Dialkyl ethers,"Diethyl sebacate is the diethyl ester of sebacic acid (decanedioic acid), making it a dicarboxylic acid diester. It consists of two ethyl ester groups on a 10-carbon chain, classifying it as a fatty acid ester and more specifically a dialkyl ester of a dicarboxylic acid. The most fitting direct parent from the available labels is 'Dialkyl ethers' is incorrect; the best available label is 'Fatty acid esters'.",medium,Diethyl sebacate,311,0,16760,179
Organic compounds,Organoheterocyclic compounds,Triazines,Triazinones,Triazinones,"Trazodone contains a triazolopyridine-fused ring system with a triazinone core, along with a chlorophenyl piperazine moiety; the most characteristic ring system placing it in ChemOnt is the triazinone (1,2,4-triazin-3-one) ring. It also contains a triazolopyridine component, but triazinone best captures the direct parent heterocycle.",medium,Trazodone,309,0,16760,157
Organic compounds,Organic nitrogen compounds,Azacyclic compounds,Pyrrolidines,Pyrrolidine-2-ones,"N-methylpyrrolidone (1-methyl-2-pyrrolidinone) is a cyclic amide (lactam) based on a five-membered nitrogen-containing ring with a ketone at position 2, making it a pyrrolidinone. It belongs to the pyrrolidines class within azacyclic compounds.",high,N-methylpyrrolidone,312,0,16760,147
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenol ethers,Phenol ethers,This compound is bisphenol A diglycidyl ether ring-opened with propanol — it contains two p-phenylene ether linkages (aryl ether/phenol ether motifs) connecting the isopropylidene-bridged bisphenol core to hydroxypropyl groups. The dominant structural feature is the aryl ether (phenol ether) connectivity.,medium,"1,1'-isopropylidenebis(p-phenyleneoxy)dipropan-2-ol",331,0,16760,142
Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Monocyclic monoterpenoids,"L-p-mentha-1(6),8-dien-2-one is a cyclic monoterpenoid ketone based on the p-menthane skeleton (a monocyclic monoterpene framework), making it a monocyclic monoterpenoid. It belongs to the prenol lipid superclass as a C10 isoprenoid-derived compound.",high,"L-p-mentha-1(6),8-dien-2-one",323,0,16760,158
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Enoate esters,"Acrylic acid n-butyl ester (n-butyl acrylate) is an ester of acrylic acid, which contains an alpha,beta-unsaturated carboxylate (enoate) functional group. This places it as an enoate ester within the carboxylic acid ester subclass.",high,"acrylic acid, n-butyl ester",315,0,16760,136
Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organosulfonic acids,Organosulfonic acids,"p-Toluenesulfonic acid (4-methylbenzenesulfonic acid) is an arylsulfonic acid, which falls under organosulfonic acids. The minor H2SO4 impurity does not change the primary classification of the substance.",high,p-toluenesulphonic acid (containing a maximum of 5 % H2SO4),326,0,16760,150
Organic compounds,Organoheterocyclic compounds,Lactams,Beta lactams,Cephalosporins,"Cefotaxime is a third-generation cephalosporin antibiotic containing a beta-lactam ring fused to a dihydrothiazine ring (the cephem core), with an aminothiazolyl side chain and a methoxyimino group. It fits squarely within the cephalosporins subgroup of beta-lactam antibiotics.",high,Cefotaxime,310,0,16760,140
Organic compounds,Organoheterocyclic compounds,Azacyclic compounds,Pyrrolidines,Pyrrolidine-2-ones,"N-methyl-2-pyrrolidone (1-methyl-2-pyrrolidinone) is a five-membered nitrogen-containing lactam (cyclic amide) with an N-methyl substituent, making it a pyrrolidin-2-one derivative. It fits directly into the pyrrolidin-2-one (Pyrrolidine-2-ones) class within the pyrrolidine subclass of azacyclic organoheterocyclic compounds.",high,N-methyl-2-pyrrolidone; 1-methyl-2-pyrrolidone,328,0,16760,172
Organic compounds,Organic nitrogen compounds,Azoles,NA,Azo compounds,"2,2'-Azobis[N-(2-hydroxyethyl)-2-methylpropionamide] contains a central N=N (azo) linkage connecting two 2-methylpropionamide groups each bearing a 2-hydroxyethyl substituent; the defining functional group is the azo (-N=N-) moiety, classifying it as an azo compound under organic nitrogen compounds.",medium,"2,2'-azobis[N-(2-hydroxyethyl)-2-methylpropionamide]",330,0,16760,140
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Phenols,"Tert-butyl-4-methoxyphenol (BHA) is an aromatic compound featuring a benzene ring substituted with a hydroxyl group and a methoxy group, classifying it as a phenol within the benzenoid family. The methoxy substituent makes it an alkoxy phenol, but 'Phenols' is the most specific exact label available in the ChemOnt list.",high,tert-butyl-4-methoxyphenol,317,0,16760,153
Inorganic compounds,Inorganic salts,Lanthanide salts,Lanthanide nitrates,Lanthanide nitrates,"Lanthanum trinitrate is an inorganic salt formed from lanthanum (a lanthanide element) and nitrate anions, making it a lanthanide nitrate salt.",high,Lanthanum trinitrate,311,0,16760,101
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,"(Z)-dodec-9-enyl acetate is an ester formed from acetic acid and (Z)-dodec-9-en-1-ol, making it a fatty acid ester (wax-type ester with a long-chain fatty alcohol). It belongs to the Fatty Acyls class within lipids.",high,(Z)-dodec-9-enyl acetate,315,0,16760,132
Organic compounds,Organosilicon compounds,Organonitrogen compounds,Quaternary ammonium salts,Quaternary ammonium salts,"This substance is dimethyloctadecyl[3-(trimethoxysilyl)propyl]ammonium chloride, a quaternary ammonium salt with a trimethoxysilylpropyl group. The most defining functional group is the quaternary ammonium chloride salt, making 'Quaternary ammonium salts' the most specific applicable direct parent, while the compound also contains an organosilicon (trialkoxysilane) moiety.",medium,Dimethyloctadecyl[3-(trimethoxysilyl)propyl]ammonium chloride,330,0,16760,196
Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,Pyrethroids,α-Cypermethrin is a synthetic pyrethroid insecticide consisting of a cyclopropanecarboxylate ester with a cyanohydrin moiety derived from 3-phenoxybenzaldehyde and a dichlorovinyl-substituted cyclopropane acid; pyrethroids are classified under phenylpropanoids and polyketides. The most specific applicable label is Pyrethroids.,high,"α-cypermethrin (ISO); racemate comprising (R)-α-cyano-3-phenoxybenzyl (1S, 3S)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate; (S)-α-cyano-3-phenoxybenzyl (1R, 3R)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",420,0,16760,163
Organic compounds,Organohalogen compounds,Organofluorides,Alkyl fluorides,Fluorotelomer alcohols,"4,4,5,5,5-pentafluoropentan-1-ol is an organofluorine compound with a primary alcohol group and a perfluoroalkyl chain ending, making it a fluorotelomer alcohol. It fits the Organohalogen/Organofluorides/Alkyl fluorides hierarchy with fluorotelomer alcohols as the most specific class.",high,"4,4,5,5,5-pentafluoropentan-1-ol",325,0,16760,147
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids and derivatives,"N,O-Dibenzoyltyrosine is a tyrosine derivative where both the amino group (N-benzoyl) and the phenolic hydroxyl (O-benzoyl) are acylated with benzoyl groups, making it an N-acylated alpha amino acid derivative. It retains the alpha amino acid backbone with carboxylic acid functionality.",high,"N,O-Dibenzoyltyrosine",316,0,16760,161
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carbamate esters,"Ethyl N-(5-chloro-2-methyl-4-sulfamoyl-phenyl)carbamate contains an ethyl ester of a carbamic acid (urethane/carbamate ester linkage) attached to a substituted aniline ring bearing chloro, methyl, and sulfamoyl substituents. The defining functional group is the carbamate ester (–NH–C(=O)–O–ethyl), making 'Carbamate esters' the most specific direct parent.",high,ethyl N-(5-chloro-2-methyl-4-sulfamoyl-phenyl)carbamate,331,0,16760,190
Organic compounds,Hydrocarbons,Saturated hydrocarbons,Alkanes,Alkanes,"n-Hexane and its structural isomers (C6H14) are saturated, acyclic hydrocarbons (alkanes). The minor cyclohexane component is a cycloalkane, but the dominant components are straight-chain and branched alkanes, making 'Alkanes' the best fit for this mixture.",high,"n-hexane, incl. structural isomers up to 40% (cyclohexane < 3 %) List No. 925-292-5",341,0,16760,160
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Enoate esters,"Dimethyl maleate is the dimethyl ester of maleic acid (cis-butenedioic acid), making it a dicarboxylic acid derivative. As an ester of an alpha,beta-unsaturated dicarboxylic acid, its most specific direct parent is enoate esters.",high,Dimethyl maleate,311,0,16760,135
NA,NA,NA,NA,NA,JSON parse error: Expecting value: line 1 column 1 (char 0),low,THBP,308,0,16760,299
Organic compounds,Organoheterocyclic compounds,Benzotriazoles,NA,Benzotriazoles,"UV-329 is 2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol, which contains a benzotriazole ring system (a benzene ring fused with a triazole) as its core heterocyclic moiety. The compound is classified as a benzotriazole UV absorber within the organoheterocyclic superclass.",high,"2-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol (UV-329)",343,0,16760,183
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Bisphenols,"2,2′,6,6′-Tetra-tert-butyl-4,4′-methylenediphenol is a compound consisting of two phenol rings connected by a methylene bridge, each ring bearing two tert-butyl substituents, which classifies it as a bisphenol (two hydroxyl-bearing benzene rings linked by a single carbon bridge).",high,"2,2′,6,6′-Tetra-tert-butyl-4,4′- methylenediphenol",335,0,16760,138
Organic compounds,Organosulfur compounds,Triazolopyrimidines,NA,Triazolopyrimidines,"Metosulam is a sulfonamide herbicide built on a [1,2,4]triazolo[1,5-a]pyrimidine core with a 2-sulfonamide group attached to a 2,6-dichloro-3-methylphenyl group; the defining bicyclic scaffold is a triazolopyrimidine. The sulfonamide functionality and overall connectivity best fit the Triazolopyrimidines class within the organosulfur superclass.",medium,"metosulam (ISO); N-(2,6-dichloro-3-methylphenyl)-5,7-dimethoxy[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonamide",363,0,16760,199
Organic compounds,Organoheterocyclic compounds,Benzoxazines,Benzoxazinones,Benzoxazinones,"7-methyl-2H-1,3-benzoxazine-2,4(3H)-dione is a benzoxazine ring system bearing two carbonyl groups (at positions 2 and 4), making it a benzoxazinone. It is a fused bicyclic heterocyclic organic compound containing both oxygen and nitrogen in the six-membered ring fused to benzene.",high,"7-methyl-2H-1,3-benzoxazine-2,4(3H)-dione",330,0,16760,149
Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids and derivatives,"Ethyl 2,6-dichloronicotinate is an ester of nicotinic acid (pyridine-3-carboxylic acid) with chlorine substituents at the 2 and 6 positions of the pyridine ring, making it a pyridinecarboxylic acid derivative. It belongs to the organoheterocyclic compounds superclass due to the nitrogen-containing aromatic ring.",high,"ethyl 2,6-dichloronicotinate",317,0,16760,193
NA,NA,NA,NA,NA,JSON parse error: Expecting value: line 1 column 1 (char 0),low,Serricornin,309,0,16760,300
Organic compounds,Organosulfur compounds,Organic disulfides,Thiuram disulfides,Thiuram disulfides,"Tetraethylthiuram disulfide (disulfiram) contains a disulfide bond flanked by two dithiocarbamate-derived nitrogen groups, making it a thiuram disulfide. It is an organic sulfur compound with the characteristic bis(diethylthiocarbamoyl) disulfide structure.",high,tetraethylthiuram disulfide,314,0,16760,143
Organic compounds,Organohalogen compounds,Vinyl halides,Vinyl chlorides,Vinyl chlorides,"1,1-Dichloroethene (vinylidene chloride) is an organochloride with two chlorine atoms attached to a vinyl carbon (CH2=CCl2), making it a vinyl chloride derivative. It fits within the vinyl halides class under organohalogen compounds.",high,"1,1-Dichloroethene",314,0,16760,117
Inorganic compounds,Mixed metal/non-metal compounds,Inorganic oxides,NA,Inorganic oxides,"Zinc oxide (ZnO) is an inorganic compound consisting of zinc (a transition metal) and oxygen, classifying it as an inorganic oxide. It falls under mixed metal/non-metal compounds as it contains both a metal (Zn) and a non-metal element (O).",high,Zinc oxide,307,0,16760,133
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Quaternary ammonium salts,"This substance is a quaternary ammonium chloride salt with a dimethyl ammonium center bearing a long-chain fatty acid amide substituent (stearamidopropyl) and a tetradecyloxy acetate ester group, making it a classic quaternary ammonium salt. The chloride counterion confirms the salt nature.",high,Dimethyl[3-[(1-oxooctadecyl)amino]propyl][2-oxo-2-(tetradecyloxy)ethyl]ammonium chloride,347,0,16760,164
Organic compounds,Organohalogen compounds,Aryl halides,Aryl chlorides,Isocyanates,"4-Chloro-3-(trifluoromethyl)phenyl isocyanate is an aromatic compound bearing a chloro substituent on the ring (aryl chloride) and an isocyanate (-N=C=O) functional group attached to the phenyl ring. The most specific functional group descriptor is isocyanate, and aryl chloride captures the halogen substitution pattern.",medium,4-Chloro-3-(trifluoromethyl)phenyl isocyanate,326,0,16760,173
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Lactones,Lactones,"Succinic anhydride is a cyclic anhydride formed from succinic acid, consisting of a five-membered ring with two carbonyl groups and one oxygen, classifying it as a cyclic dicarboxylic acid anhydride (lactone-type). In ChemOnt, cyclic anhydrides fall under Lactones within the carboxylic acids and derivatives hierarchy.",medium,succinic anhydride,310,0,16760,152
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,"1,2-diols","1,4-butanediol (HO-CH2-CH2-CH2-CH2-OH) is an organic compound with two hydroxyl groups on a four-carbon chain, classifying it as a diol. However, since the hydroxyls are on C1 and C4 (not vicinal), the best available direct parent from the taxonomy list is '1,2-diols' under alcohols and polyols, as no '1,4-diol' label exists; alternatively 'Alcohols and polyols' serves as subclass.",medium,"1,4-butanediol",312,0,16760,192
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenol ethers,Phenol ethers,"1,3-bis(2-hydroxyethoxy)benzene is a benzene ring with two oxyethanol substituents attached via ether linkages (phenyl-O-CH2CH2-OH), making it a phenol ether (aryl alkyl ether). The benzene core places it in benzenoids, and the ether oxygens linking the benzene to the alkyl chains classify it as a phenol ether.",high,"1,3-bis(2-hydroxyethoxy)benzene",319,0,16760,182
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenol ethers,Anisoles,"4-methoxyphenol (mequinol) is a benzene ring with a methoxy substituent and a hydroxyl group; the methoxy group on the benzene ring classifies it as an anisole (methoxybenzene derivative), which is a phenol ether subclass.",high,mequinol; 4-methoxyphenol; hydroquinone monomethyl ether,328,0,16760,131
Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Sulfonyls,Organosulfonamides,"2-aminosulfonyl-N,N-dimethylnicotinamide contains a sulfonamide group (-SO2NH2) attached to a nicotinamide (pyridine-3-carboxamide) ring with N,N-dimethyl substitution. The sulfonamide functional group is the most defining feature, classifying it as an organosulfonamide.",medium,"2-aminosulfonyl-N,N-dimethylnicotinamide",323,0,16760,175
Organic compounds,Organohalogen compounds,Organofluorides,Vinyl fluorides,Vinyl fluorides,"Tetrafluoroethylene (CF2=CF2) is an organic compound with four fluorine atoms attached to a carbon-carbon double bond (ethylene backbone), making it a perfluorinated vinyl fluoride. It falls under organofluorides and specifically vinyl halides/fluorides due to the C=C bond with fluorine substituents.",high,Tetrafluoroethylene,312,0,16760,143
Inorganic compounds,Inorganic salts,Alkali metal salts,Alkali metal borates,Alkali metal borates,"Tetraboron disodium heptaoxide hydrate (borax) is an inorganic salt composed of sodium (an alkali metal) and a borate anion derived from boron oxide, making it an alkali metal borate. It is a well-known inorganic ionic compound with no organic carbon framework.",high,"tetraboron disodium heptaoxide, hydrate",318,0,16760,160
Organic compounds,Organic nitrogen compounds,Carboxylic acids and derivatives,Carboxylic acid derivatives,Acetamides,N-2-hydroxyethylacetamide (HOCH2CH2NHCOCH3) is an acetamide derivative where the nitrogen of acetamide is substituted with a 2-hydroxyethyl group. It belongs to the acetamide subclass of carboxylic acid derivatives.,high,N-2-hydroxyethylacetamide,316,0,16760,155
Organic compounds,Organoheterocyclic compounds,Azoles,Triazoles,Phenylpyrazoles,Metyltetraprole contains a 4-chlorophenyl-substituted pyrazole ring connected via an oxymethylene linker to a methylphenyl-tetrazolone moiety. The molecule is an organoheterocyclic compound featuring both pyrazole and tetrazole (azole) rings; the phenylpyrazole fragment is the most structurally defining direct parent available in the taxonomy.,medium,"1-[2-({[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy}methyl)-3-methylphenyl]-4-methyl-1,4-dihydro-5H-tetrazol-5-one; metyltetraprole",375,0,16760,179
Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Coumarins and derivatives,Coumarins and derivatives,"The substance is a 2H-1-benzopyran (chromene) with a carboxylic acid group and a cyclopropyl substituent at position 2, along with methoxy groups. The 2H-1-benzopyran-5-carboxylic acid core is a benzopyran/coumarin-type scaffold, classifying it under coumarins and derivatives.",medium,"2H-1-Benzopyran-5-carboxylic acid, 2-cyclopropyl-7,8-dimethoxy-",338,0,16760,161
Organic compounds,Organometallic compounds,Organotin compounds,Trialkyltins,Trialkyltins,"Fenbutatin oxide is bis[tris(2-methyl-2-phenylpropyl)tin] oxide, an organotin compound containing three alkyl groups (neophyl groups) attached to each tin atom with an oxide bridge between two tin centers, classifying it as a trialkyltin (oxide) compound.",high,Fenbutatin oxide,309,0,16760,158
Organic compounds,Organosulfur compounds,Sulfonyls,Sulfonylureas,"1,2,4-triazolopyrimidine-2-sulfonanilides","This compound is a sulfonanilide derivative of a [1,2,4]triazolo[1,5-a]pyrimidine with a sulfone linkage connecting the triazolopyrimidine ring to a difluoromethyl-substituted aniline. The specific ChemOnt label '1,2,4-triazolopyrimidine-2-sulfonanilides' directly captures this structural motif.",high,"2',6'-difluoro-5-methyl[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfoanilide",344,0,16760,200
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Hydroquinones,"Hydroquinone (1,4-dihydroxybenzene) is a benzene ring with two hydroxyl groups at the para positions, classifying it as a hydroquinone. It falls under phenols as a benzenoid compound with hydroxyl substituents.",high,hydroquinone,308,0,16760,125
Organic compounds,Hydrocarbon derivatives,Organooxygen compounds,Ethers,Vinyl halides,"Methyl vinyl ether (CH3-O-CH=CH2) is an organic compound containing a vinyl group bonded to an oxygen ether linkage, making it a vinyl ether. The most specific applicable label from the list for this enol ether structure would be under ethers, but 'Vinylogous esters' or 'Thioenol ethers' don't apply; the closest direct parent from the available list is 'Ethers' since 'vinyl ethers' is not explicitly listed.",medium,methyl vinyl ether,309,0,16760,179
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Phenoxyacetic acid derivatives,"Sodium phenoxyacetate is the sodium salt of phenoxyacetic acid (a phenyl ether of acetic acid), classifying it as a carboxylic acid salt. The hemihydrate designation refers to the hydration state and does not change the core chemical classification.",medium,Sodium phenoxyacetate hemihydrate,316,0,16760,155
Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,"Docosanamide is the primary amide of docosanoic acid (behenic acid), a 22-carbon saturated straight-chain fatty acid, making it a fatty amide within the fatty acyls class of lipids.",high,Docosanamide,309,0,16760,120
Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Imidazoles,"The substance contains an imidazole ring connected via a methylene bridge to a 3-chlorophenyl group and a 1,2-diaminobenzene (benzenediamine) core; the dihydrochloride salt form is present, but the core heterocyclic scaffold is an imidazole. The most specific parent that applies across the full structure is the imidazole class.",medium,"4-[(3-chlorophenyl)(1H-imidazol-1-yl)methyl]-1,2-benzenediamine dihydrochloride",344,0,16760,179
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Ureas,Ureas,"The substance is a disubstituted urea (N,N-dimethylurea connected to an isophorone-derived cyclohexyl group) with an additional N,N-dimethylcarbamoyl amino group, making ureas the most specific applicable classification. Both functional groups are urea-type linkages (N-CO-N).",high,"Urea,N'-[3-[[[(dimethylamino)carbonyl]amino]methyl]-3,5,5-trimethylcyclohexyl]-N,N-dimethyl-",352,0,16760,128
Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols,Phenols,"Phenol (C6H5OH) is a benzene ring with a hydroxyl group directly attached, making it the archetypal member of the phenols class within benzenoids. It is an organic compound classified under benzene and substituted derivatives at the class level.",high,Phenol,307,0,16760,121
Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfonate salts,"Sodium 2-methylprop-2-ene-1-sulphonate is the sodium salt of 2-methylallylsulfonic acid (methallylsulfonic acid), containing a sulfonate group (-SO3Na) attached to an allylic carbon chain. It is an organic sulfonate salt, which is the most specific applicable category.",medium,Sodium 2-methylprop-2-ene-1-sulphonate,323,0,16760,166
Organic compounds,Organoheterocyclic compounds,Triazines,Triazinanes,Trioxanes,"This substance is a triazine-2,4,6-trione (isocyanurate) ring system with three 2,3-epoxypropyl substituents. The core is a 1,3,5-triazinane-2,4,6-trione (isocyanuric acid derivative), which falls under triazinanes; however, the trioxo (three carbonyl) pattern on the triazinane ring makes trioxanes the most specific direct parent for the isocyanurate core.",medium,"1,3,5-tris[(2S and 2R)-2,3-epoxypropyl]-1,3,5-triazine-2,4,6-(1H,3H,5H)-trione",357,0,16760,173
Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,"Bis(2-methoxyethyl) ether (diglyme) is an organic compound containing an ether linkage between two 2-methoxyethyl groups, making it a dialkyl ether. It belongs to the organooxygen compounds superclass.",high,bis(2-methoxyethyl) ether,316,0,16760,143
Organic compounds,Organohalogen compounds,Organobromides,Halohydrins,Bromohydrins,"2,3-Dibromopropan-1-ol contains both bromine substituents and a hydroxyl group on an aliphatic chain, making it a bromohydrin. It falls under organobromides within organohalogen compounds.",high,"2,3-dibromopropan-1-ol; 2,3-dibromo-1-propanol",331,0,16760,111
Inorganic compounds,Homogeneous non-metal compounds,Homogeneous other non-metal compounds,NA,Non-metal hydroxides,"Deuterium oxide (D2O, heavy water) is an inorganic compound composed solely of deuterium and oxygen, analogous to water (H2O). It falls under inorganic non-metal compounds, and as a non-metal hydroxide/oxide analog, the closest direct parent is Non-metal hydroxides.",medium,Deuterium oxide,309,0,16760,141
Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Pyrazoles,"This substance contains a pyrazole ring core (1,4-disubstituted pyrazole with a hydroxyl and carboxylate group) bearing an azo linkage to sulfonatophenyl groups, with tetramethylammonium counterions. The dominant heterocyclic scaffold is a pyrazole, making it best classified under pyrazoles in the ChemOnt hierarchy.",medium,tris(tetramethylammonium) 5-hydroxy-1-(4-sulphonatophenyl)-4-(4-sulphonatophenylazo)pyrazole-3-carboxylate,356,0,16760,169
Organic compounds,Organoheterocyclic compounds,Lactones,NA,Phthalic anhydrides,"Phthalic anhydride is a cyclic anhydride formed from phthalic acid, consisting of a benzene ring fused with a five-membered anhydride (diacid anhydride/lactone) ring. It is best classified as a phthalic anhydride within the lactone class of organoheterocyclic compounds.",high,Phthalic anhydride,312,0,16760,145
