substance_name,matchable,llm_kingdom,llm_superclass,llm_class,llm_subclass,llm_direct_parent,confidence,emb_match,emb_score,agree,both_match
"Esterification products of Guerbet alcohols, C24-26, branched and cyclic with benzene-1,2,4-tricarboxylic acid 1,2-anhydride (3:1)",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,medium,NA,NA,FALSE,FALSE
WREISPOL,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, rape-oil, Me esters",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid methyl esters,high,NA,NA,FALSE,FALSE
"1-[2,4-dichloro-beta-[(5-bromo-2-chloro-3-thenyl)-oxy]phenethyl]imidazole; hydrochloride",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Imidazoles,medium,NA,NA,FALSE,FALSE
"N,N-bis(9,9-dimethylfluoren-2-yl)-4-phenyl-9,9'-spirobi[fluorene]-4'-amine",TRUE,Organic compounds,Hydrocarbon derivatives,Organonitrogen compounds,Triarylamines,Triarylamines,high,NA,NA,FALSE,FALSE
"Lead, antimonial, dross",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
Reaction products resulting from esterification of sucrose with saturated C16-18 (even numbered) fatty acids,TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,NA,Fatty acyl glycosides of mono- and disaccharides,medium,NA,NA,FALSE,FALSE
"2-[4-[N-ethyl-4-(2-methoxyethoxy)anilino]phenyl]ethene-1,1,2-tricarbonitrile",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Nitriles,Nitriles,medium,NA,NA,FALSE,FALSE
"Fatty acids, C8-18 and C18-unsatd., Me esters",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid methyl esters,high,NA,NA,FALSE,FALSE
salts of ephedrine,TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Organic salts,medium,NA,NA,FALSE,FALSE
"Fatty acids C16-18 (even numbered), oligoesters with sucrose",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty acid esters,medium,NA,NA,FALSE,FALSE
"Lubricating greases; Grease; [A complex combination of hydrocarbons having carbon numbers predominantly in the range of C12 through C50. May contain organic salts of alkali metals, alkaline earth metals, and/or aluminium compounds.]",TRUE,Organic compounds,Hydrocarbons,Saturated hydrocarbons,NA,Saturated hydrocarbons,low,NA,NA,FALSE,FALSE
"3-{[(2,4)and(2,5)and(2,6)-dimethylphenyl]and[(2-ethylphenyl)]}-1-{[(2,4)and(2,5)and(2,6)-dimethylphenyl]and[(2-ethylphenyl)]}guanidinium m-[[p-anilinophenyl]azo]benzenesulfonate",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Azo compounds,low,NA,NA,FALSE,FALSE
"Reaction product of o-cresol and camphene, obtained by addition, hydrogenation and distillation",TRUE,Organic compounds,Phenylpropanoids and polyketides,Coumarans,NA,Cyclohexylphenols,low,NA,NA,FALSE,FALSE
Oxidised Crude Tall Oil,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,low,NA,NA,FALSE,FALSE
"Fatty acid chlorides, C12-18 (even numbered) and C18 unsatd., reaction products with sodium N-methyltaurinate",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,NA,Sulfonyls,low,NA,NA,FALSE,FALSE
"Reaction product of: 3-hydroxy-5,7-di-tert-butylbenzofuran-2-one with o-xylene",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"N,N’-(oxybis(ethane-2,1-diyl))-bis(N-methylpropan-2-amine",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
CIN 10074068,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Asbestos fibres,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,medium,NA,NA,FALSE,FALSE
"Boric acid (H3BO3), solid soln. with barium oxide, calcium oxide and strontium oxide, lead and manganese-doped",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
Absolute of Dipteryx odorata (Fabaceae) obtained from beans by organic solvent treatment and subsequent ethanol extraction,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Cadmium selenide (Cd0.95Se),TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,medium,NA,NA,FALSE,FALSE
"Ferrate (2-), [N,N-bis[2-(bis(carboxymethyl)amino)ethyl]glycinato (5-)]-, disodium",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",low,NA,NA,FALSE,FALSE
"Fatty acids, tall-oil, reaction products with boric acid (H3BO3) and diethanolamine",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,low,NA,NA,FALSE,FALSE
"Sulfuric acid, cadmium salt (4:1)",TRUE,Inorganic compounds,Inorganic salts,Transition metal salts,Transition metal sulfates,Transition metal sulfates,high,NA,NA,FALSE,FALSE
"Barium oxide (BaO), solid soln. with calcium oxide, strontium oxide and tungsten oxide (WO3), lead-doped",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
"4-azidobutan-1-amine; (7,7-dimethyl-3-oxo-4-bicyclo[2.2.1]heptanyl)methanesulfonic acid",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfonic acids and derivatives,medium,NA,NA,FALSE,FALSE
DOW CORNING(R) 2-5647,TRUE,Organic compounds,Organoheterocyclic compounds,NA,NA,Siloxanes,low,NA,NA,FALSE,FALSE
"2,5-diphenyloxazole-4-sulfonic acid",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,Oxazoles,Oxazoles,high,NA,NA,FALSE,FALSE
A mixture of n-octadecylaminodiethyl bis(hydrogen maleate); n-octadecylaminodiethyl hydrogen maleate hydrogenphthalate,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,low,NA,NA,FALSE,FALSE
di-alkyl-benzenesulfonic acid,TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives,high,Benzenesulfonic acids and derivatives,0.8100265897916227,TRUE,TRUE
"salts of 3,3'-dichlorobenzidine; salts of 3,3'-dichlorobiphenyl-4,4'-ylenediamine",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzidines,Benzidines,high,NA,NA,FALSE,FALSE
"(2R,3R)-3-(3-Methoxyphenyl)-N,2-dimethylpentan-1-ammonium chloride",TRUE,Organic compounds,Organohalogen compounds,Organochlorides,Quaternary ammonium salts,Quaternary ammonium salts,medium,NA,NA,FALSE,FALSE
"6-oxo- 6H‒Dibenz[c, e] [1, 2] oxaphosphorin 6-alkyl derivative",TRUE,Organic compounds,Organophosphorus compounds,Organic phosphonic acids and derivatives,NA,Organic phosphonic acids and derivatives,medium,NA,NA,FALSE,FALSE
"Reaction products of diazotized 2-amino-5-{[2-(sulfooxy)ethyl]sulfonyl}benzenesulfonic acid coupled with 7-amino-4-hydroxynaphthalene-2-sulphonic acid, subsequently coupled with diazotized 2-[(3-aminophenyl)sulfonyl]ethyl hydrogen sulfate, sodium and potassium salts",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,Azo compounds,medium,NA,NA,FALSE,FALSE
"Lutetium aluminium oxide, cerium doped, garnet",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Inorganic oxides,NA,Inorganic oxides,medium,NA,NA,FALSE,FALSE
Rammelsbergite (NiAs2),TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,medium,NA,NA,FALSE,FALSE
"A mixture of: 7,9,9-trimethyl-3,14-dioxa-4,13-dioxo-5,12-diazahexadecane-1,16-diylprop-2-enoate; 7,7,9-trimethyl-3,14-dioxa-4,13-dioxo-5,12-diazahexadecan-1,16-diylprop-2-enoate",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carbamate esters,medium,NA,NA,FALSE,FALSE
"3-{2-Acetylamino-4-[4-chloro-6-(4-vinylsulfonyl-phenylamino)-[1,3,5]triazine-2-ylamino]-phenylazo}-naphthalene-1,5-disulfonate",TRUE,Organic compounds,Benzenoids,Naphthalenes,NA,Naphthalene sulfonic acids and derivatives,medium,NA,NA,FALSE,FALSE
"glycerol, esters with propionic acid",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Monoradylglycerols,medium,NA,NA,FALSE,FALSE
"Aluminate(2),[[N,N'-1,2-ethanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON]hydroxy-,disodium",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
"Reaction products of 1H-Imidazole-1-ethanol, 4,5-dihydro-, 2-(C11-C13 odd-numbered alkyl) derivs. and sodium hydroxide and chloroacetic acid",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,low,NA,NA,FALSE,FALSE
"2H-Pyrido[3,2-b]-1,4-oxazin-3(4H)-one, 6-[[5-fluoro-2- [(3,4,5-trimethoxyphenyl)amino]-4-pyrimidinyl]amino]-2,2-dimethyl-4- [(phosphonooxy)methyl]*DMF",TRUE,Organic compounds,Organoheterocyclic compounds,Oxazinanes,NA,Oxazinanes,medium,NA,NA,FALSE,FALSE
PHOTOSOL 5-68,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
JPR BK C-201 (Y),TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, C8-10-branched, lead salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Branched fatty acids,medium,NA,NA,FALSE,FALSE
"Fatty acids, C16-18, Bu esters",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,medium,Fatty acid esters,0.8200929502279364,TRUE,TRUE
"A mixture of: tetrasodium(((2-hydroxyethyl)imino)bis(methylene))bisphosphonate, N-oxide; trisodium ((tetrahydro-2-hydroxy-4H-1,4,2-oxazaphosphorin-4-yl)methyl)phosphonate, N-oxide, P-oxide",TRUE,Organic compounds,Organophosphorus compounds,Organic phosphonic acids and derivatives,NA,Organic phosphonic acids and derivatives,medium,NA,NA,FALSE,FALSE
"Reaction products of diazotised 2-aminophenol-4-sulfonamide coupled with 7-amino-4-hydroxynaphthalene-2-sulfonic acid, subsequently diazotised and coupled with 3-oxo-N-phenylbutanamide and 3 aminophenol, chelated with chromium (3+), potassium salts",TRUE,Organic compounds,Organometallic compounds,Organotransition metal compounds,NA,Organotransition metal compounds,low,NA,NA,FALSE,FALSE
"Formaldehyde, polymer with ethenylbenzene and phenol",TRUE,Organic compounds,Organic Polymers,NA,NA,Organic Polymers,medium,NA,NA,FALSE,FALSE
"(E)-N-((dialkylamino)alkylene)-3,5-bis(polyfluoroalkyl)benzamide",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amides,Benzamides,medium,NA,NA,FALSE,FALSE
"Lead, C5-23-branched carboxylate octanoate complexes",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Organic metal salts,medium,NA,NA,FALSE,FALSE
"Slags, ferromolybdenum-manufg., silicothermic",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"7-[(ethoxycarbonyl)amino]-4-hydroxynaphthalene-2-sulfonic acid, sodium salt",TRUE,Organic compounds,Benzenoids,Naphthalenes,Naphthalene sulfonic acids and derivatives,Naphthalene sulfonic acids and derivatives,medium,NA,NA,FALSE,FALSE
DS-1292B-E,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"1,2-dichloro-1,1,2-trifluoro-2-(trifluoromethoxy)ethane and2-(1,2-dichloro-1,2,2-trifluoroethoxy)-1,1,2,2-tetrafluoroethanesulfonyl fluoride",TRUE,Organic compounds,Organohalogen compounds,Organofluorides,Perfluoroalkyl sulfonic acid and derivatives,Perfluoroalkanesulfonyl fluorides,medium,NA,NA,FALSE,FALSE
"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP)",TRUE,Organic compounds,Organophosphorus compounds,Organic phosphines and derivatives,Trialkylphosphites,Trialkylphosphites,medium,NA,NA,FALSE,FALSE
"rosin, hydrogenated, ester with methanol",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,NA,Diterpenes,low,NA,NA,FALSE,FALSE
"Resin acids and Rosin acids, maleated, esters with glycerol",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Diterpenoids,medium,NA,NA,FALSE,FALSE
P1,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-C8-10 (even numbered) acyl derivs., hydroxides, inner salts",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Quaternary ammonium salts,medium,NA,NA,FALSE,FALSE
"D-Glucopyranose, oligomers, decyl octyl glycosides",TRUE,Organic compounds,Lipids and lipid-like molecules,Saccharolipids,Saccharolipids,Fatty acyl glycosides of mono- and disaccharides,medium,NA,NA,FALSE,FALSE
A mixture of: dodecyldimethyloctylammononiumbromide; tetradecyldimethyloctylammoniumbromide,TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Quaternary ammonium salts,high,NA,NA,FALSE,FALSE
JASMONITRILE,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,medium,NA,NA,FALSE,FALSE
"Filter cake from enzyme fermentation, consisting of fungal biomass and inorganic filtration aid",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, lanolin",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,medium,NA,NA,FALSE,FALSE
"Aluminum chloride, basic, reaction products with silica",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Metalloid salts,NA,Metalloid salts,low,NA,NA,FALSE,FALSE
"reaction products of diazotized p-amino-acetanilide, coupled with 6-amino-4-hydroxynaphthalene-2-sulfonic acid, subsequently coupled with diazotized 8- aminonaphthalene-2-sulfonic acid and 6-amino-4-hydroxynaphthalene-2-sulfonic acid, sodium salts",TRUE,Organic compounds,Hydrocarbon derivatives,Aryl halides,NA,Azo compounds,low,NA,NA,FALSE,FALSE
Ethyl 6-O-octadecenoyl-D-glucopyranoside,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acyl glycosides of mono- and disaccharides,medium,NA,NA,FALSE,FALSE
241 AJG,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Isooctadecanoic acid, mono- and diesters with glycerol",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Diradylglycerols,Diradylglycerols,medium,NA,NA,FALSE,FALSE
"Alkenes, C10-14-branched and linear, C12-rich",TRUE,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,Olefins,Olefins,high,NA,NA,FALSE,FALSE
"Oligomerisation products of hexamethylene diisocyanate, isocyanurate type, reacted with 2-hydroxyethyl acrylate.",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,low,NA,NA,FALSE,FALSE
"Reaction products of diazotised 2-amin-6-nitrophenol-4-sulphonic Acid and 2-Amino-4-nitrophenol-6-sulfonic Acid, coupled with a mixture of 6-Amino-4-hydroxy-2-naphthalenesulfonic Acid and Acetylated 6-Amino-4-hydroxy-2-naphthalenesulfonic Acid, subsequently metallized with Chromium (III) Basic Sulfate and Acetic Acid, and at the end diazotised and coupled with p-Cresol, sodium salts",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Azo compounds,Azobenzenes,low,NA,NA,FALSE,FALSE
A mixture of isomers of: dodecylammonium (octachloro)(sulfonato)phtalocyaninatocuprate(II),TRUE,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,NA,Phthalocyanines,medium,NA,NA,FALSE,FALSE
"Barium cadmium calcium chloride fluoride phosphate, antimony and manganese-doped",TRUE,Inorganic compounds,Inorganic salts,Mixed metal/non-metal compounds,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
"dodecane-12-lactam, manufacturing of, by-products from, distillation residues",TRUE,Organic compounds,Organic nitrogen compounds,Lactams,NA,Macrolactams,medium,NA,NA,FALSE,FALSE
"A 2:1 mixture of: tris(3,5,5-trimethylhexylammonium)-4-amino-3-(4-(4-(2-amino-4-hydroxyphenylazo)anilino)-3-sulfonatophenylazo)-5,6-dihydro-5-oxo-6-phenylhydrazononaphthalene-2,7-disulfonate; tris(3,5,5-trimethylhexylammonium)-4-amino-3-(4-(4-(4-amino-2-hydroxyphenylazo)anilino)-3-sulfonatophenylazo)-5,6-dihydro-5-oxo-6-phenylhydrazononaphthalene-2,7-disulfonate",TRUE,Organic compounds,Hydrocarbon derivatives,Organonitrogen compounds,Azo compounds,Azobenzenes,medium,NA,NA,FALSE,FALSE
"Iron ores, agglomerates",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Transition metal salts,NA,Transition metal oxides,medium,NA,NA,FALSE,FALSE
polyethylene oxide(4-14)ether of octyl- and/or nonylphenol,TRUE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,medium,NA,NA,FALSE,FALSE
"2-(chloromethyl)-4-methoxy-3,5-dimethylpyridine hydrochloride (1:1)",TRUE,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Halopyridines,Halopyridines,high,NA,NA,FALSE,FALSE
4-amino-1-Methyl-3-n-propyl-5-pyrazolecarboxamide hydrochloride,TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Pyrazoles,high,NA,NA,FALSE,FALSE
"Hydrogenation products of 1-(2,6,6- trimethylcyclohex-2-en-1-yl)hex-1-en-3-one",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,NA,Cyclic ketones,medium,NA,NA,FALSE,FALSE
8-chloro-2-{[4-(trifluoromethoxy)phenyl]methyl}quinoline hydrochloride,TRUE,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinolines and derivatives,Quinolines and derivatives,high,NA,NA,FALSE,FALSE
"Iodonium, bis(4-(1,1-dimethylethyl)phenyl)-, tetraphenylborate(1-)",TRUE,Organic compounds,Organohalogen compounds,Organoiodides,NA,Organoiodides,medium,NA,NA,FALSE,FALSE
INTERSTAB FR 184,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, C18-unsatd., diesters and triesters with trimethylolpropane",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,medium,NA,NA,FALSE,FALSE
A mixture of isomers of: methyldiphenylmethane; dimethyldiphenylmethane,TRUE,Organic compounds,Hydrocarbons,Aromatic hydrocarbons,NA,Diphenylmethanes,high,NA,NA,FALSE,FALSE
"Reaction product of vanilline, obtained by hydrogenation",TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxyphenols,Methoxyphenols,medium,NA,NA,FALSE,FALSE
"trans,trans-4,4'-di-(1-propenyl)-trans-1,1'-bicyclohexane",TRUE,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,NA,Cycloalkenes,medium,NA,NA,FALSE,FALSE
DELOXAN DAP III,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"A mixture of: propan-2-one-O,O'-(methoxymethylsilandiyl)dioxime; propan-2-one-O-(dimethoxymethylsilyl)oxime; propan-2-one-O,O',O''-(methylsilantriyl)trioxime",TRUE,Organic compounds,Organometallic compounds,Organometalloid compounds,NA,Tris(ketoximino)silanes,medium,NA,NA,FALSE,FALSE
"copper sulfate;N'-[2-[2-(2-aminoethylamino)ethylamino]ethyl]ethane-1,2-diamine",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Formaldehyde, oligomeric reaction products with acetone and diphenylamine",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,NA,Dialkylarylamines,low,NA,NA,FALSE,FALSE
"Pentyl 2,5-bis[(4-[[6-(acryloyloxy)hexyl]oxy]benzoyl)oxy]benzoate",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Phenol esters,medium,NA,NA,FALSE,FALSE
"Fatty acids, C16-18, esters with ethylene glycol",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,medium,NA,NA,FALSE,FALSE
paraffin waxes and hydrocarbon waxes,TRUE,Organic compounds,Hydrocarbons,Saturated hydrocarbons,Alkanes,Alkanes,high,NA,NA,FALSE,FALSE
Candida oleophila strain O,TRUE,NA,NA,NA,NA,NA,high,NA,NA,FALSE,FALSE
3(3-Benzyloxycarbonyl-methyl)-2-benzothiazolinone (Benzolinone),TRUE,Organic compounds,Organoheterocyclic compounds,Benzothiazoles,NA,Benzothiazoles,medium,NA,NA,FALSE,FALSE
"1,2,3,6,7,8,9,10,11,13a,14,15,16,16a-tetradecahydro-6-[[(5-methyl-2-heteromonocyclic)carbonyl]amino]-5,16-dioxo-2-(6-heteropolycyclicoxy)-alicyclic[e]heteromonocyclic[1,2-a][1,4]heteromonocycle-14a(5H)-carboxylic acid ethyl ester hydrochloride (2R,6S,12Z,13aS,14aR,16aS)",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
tetracopper hexahydroxide sulphate hydrate,TRUE,Inorganic compounds,Inorganic salts,Alkaline earth metal salts,NA,Alkaline earth metal sulfates,medium,NA,NA,FALSE,FALSE
"Nitriles, C18 unsaturated, dimers",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Nitriles,Nitriles,medium,NA,NA,FALSE,FALSE
"Mercury, compound with sodium (2:1)",TRUE,Inorganic compounds,Homogeneous metal compounds,Homogeneous transition metal compounds,NA,Homogeneous transition metal compounds,low,NA,NA,FALSE,FALSE
PHELLODENDRON AMURENSE EXTRACT,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
3-Methyl-4-(4-trifluoromethylsulfanyl-phenoxy)-phenylamine oxalate,TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Carboxylic acid salts,medium,NA,NA,FALSE,FALSE
condensation products of polyoxyethylene-3 with fatty alcohols C10-C18,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty alcohols,low,NA,NA,FALSE,FALSE
"Reaction product of naphtalene, propan-2-ol, sulfonated and neutralized by caustic soda",TRUE,Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Organic sulfonic acids and derivatives,Naphthalene sulfonic acids and derivatives,medium,NA,NA,FALSE,FALSE
"1-(2-((2,4-dimethylphenyl)thio)phenyl)piperazine hydrobromide propan-2-ol solvate",TRUE,Organic compounds,Organoheterocyclic compounds,Diazinanes,Piperazines,Phenylpiperazines,medium,NA,NA,FALSE,FALSE
"[(3aS*,4R*,5S*,7R*,7aS*)-4,7-methano-2,3,3a,4,5,6,7,7a-octahydro-1H-inden-5-yl]methyl acetate",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,medium,NA,NA,FALSE,FALSE
"Fatty acids, C8-10 (even numbered), 3-methylbutyl esters",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,high,NA,NA,FALSE,FALSE
strontium neodecanoate; strontium di(acetate); strontium tartrate; strontium oxalate; strontium chloride; strontium nitrate; strontium fluoride; strontium sulphate; strontium carbonate; strontium hydrogen phosphate; strontium hydroxide; strontium bis{5-[bis(carboxymethyl)amino]-3-(carboxymethyl)-4-cyanothiophene-2-carboxylate},TRUE,Inorganic compounds,Inorganic salts,Alkaline earth metal salts,NA,Alkaline earth metal salts,medium,NA,NA,FALSE,FALSE
"Titanium, diethylene glycol ethylene glycol triisopropanolamine complexes",TRUE,Organic compounds,Organometallic compounds,Organotransition metal compounds,NA,Organotransition metal compounds,medium,NA,NA,FALSE,FALSE
TRICLOPYR (TM) ETHYL ESTER,TRUE,Organic compounds,Organohalogen compounds,Organochlorides,Aryl chlorides,Chlorophenoxyacetates,medium,NA,NA,FALSE,FALSE
"O,O,O-tris(2(or 4)-C9-10-isoalkylphenyl) phosphorothioate",TRUE,Organic compounds,Organophosphorus compounds,Organic thiophosphoric acids and derivatives,Organic thiophosphoric acids and derivatives,Aryl thiophosphates,medium,NA,NA,FALSE,FALSE
"(tris(chloromethyl)phthalocyaninato)copper(II), reaction products with N-methylpiperazine and methoxyacetic acid",TRUE,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,NA,Phthalocyanines,medium,NA,NA,FALSE,FALSE
"Anthemis nobilis, ext.",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Products of roasting of ""slags, steelmaking, vanadium""",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
6-docosyloxy-1-hydroxy-4-(1-(4-hydroxy-3-methylphenanthren-1-yl)-3-oxo-2-oxaphenalen-1-yl)naphthalene-2-carboxylic acid,TRUE,Organic compounds,Phenylpropanoids and polyketides,Naphthalenes,NA,Naphthalenes,low,NA,NA,FALSE,FALSE
REAKTIV-MARINEBLAU F-63 774 FW,TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,Triazoles,Triazoles,low,NA,NA,FALSE,FALSE
"Sulfuric acid, mono (C16-18 and C18-unsatd. alkyl) (even numbered) esters, sodium salts",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Sulfuric acid esters,Sulfuric acid monoesters,high,NA,NA,FALSE,FALSE
"Glycerides, C16-18 and C18-unsatd. mono- and di-, citrates",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,NA,Diradylglycerols,low,NA,NA,FALSE,FALSE
bis({9-[2-(carboxy-kO)phenyl]-6-(bis(tallow alkyl hydrogenated)amino)-3H-xanthen-3-ylidene}-3-bis(tallow alkyl hydrogenated)iminium)zinc(2+) dichloride,TRUE,Organic compounds,Organoheterocyclic compounds,Benzopyrans,NA,Xanthenes,medium,NA,NA,FALSE,FALSE
